h3,aeroway,amenity,building,building.area,building.area.average,building.area.ratio,e_0,e_1,e_10,e_11,e_12,e_13,e_14,e_15,e_16,e_17,e_18,e_19,e_2,e_20,e_21,e_22,e_23,e_24,e_25,e_26,e_27,e_28,e_29,e_3,e_30,e_31,e_32,e_33,e_34,e_35,e_36,e_37,e_38,e_39,e_4,e_40,e_41,e_42,e_43,e_44,e_45,e_46,e_47,e_48,e_49,e_5,e_6,e_7,e_8,e_9,healthcare,highway,highway.area,highway.area.ratio,historic,leisure,office,parking.area,parking.area.average,parking.area.ratio,public_transport,railway,route,shop,sport,tourism,water,waterway,actual_mean,actual_std,pred_mean,pred_std,wasserstein_distance
892a30642d3ffff,0.0,0.0,0.5473684210526316,-0.04013743,-0.3914789590449669,-0.04031209636886108,-0.98714954,-1.3614265,-0.46253663,-0.8854573,0.051516492,0.39004427,-1.0556833,-0.7835273,-0.85738695,-1.2087458,-2.132971,0.3416983,0.6844908,0.6927256,0.8748484,0.38155517,-1.1916453,0.5623933,0.2264601,0.05973986,0.21566716,-0.5108927,-0.3518832,1.333817,-0.06700345,0.5557376,-1.1407896,-0.5829235,0.8846106,0.673382,0.67831445,-0.049941525,-0.1868511,-1.4240481,-0.31317502,-0.7698146,-0.043724462,-0.5964447,-0.3624483,1.0698454,0.8178882,-1.9990002,0.852484,1.2776057,0.19412072,-0.037706394,-1.1577916,0.33708736,-0.5542919,-0.23664425,0.0,0.13636363636363635,-0.24190618,-0.2450030304678409,0.0,-0.3333333333333333,0.0,0.0,0.0,0.0,-0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,277.145,123.50774661939225,113.2383440873628,0.19132935363994366,170.89096771062538
892a3064da3ffff,0.0,-0.3333333333333333,-0.6526315789473685,-0.4816375,0.9081589311845897,-0.4785551546913959,0.09454251,0.95350397,-0.43112326,0.9058627,-0.46645206,-0.28663033,0.5351683,0.62390804,0.014758211,1.224505,-0.54506797,0.51765704,0.21313082,-0.60304564,-0.39181882,0.00014921086,0.28721467,-0.3841111,-0.9464796,-0.3323622,0.31542382,0.6244057,0.9229664,-0.13948412,0.7133095,-0.5558134,1.2811352,0.8039096,-0.25695744,-0.02737255,-0.12582704,0.5049501,0.10295324,-0.45670542,-0.98278505,0.3751405,-0.44808185,0.17824118,0.66598177,0.29287115,-0.8144972,0.5189305,0.60465217,0.04367698,-0.3465174,0.6033812,0.77799606,0.30314028,0.18407397,0.28781322,0.0,0.5909090909090909,-0.35044536,-0.3484688444805453,0.0,-0.3333333333333333,0.0,0.0,0.0,0.0,1.25,1.0,0.0,1.0,0.0,0.0,1.0,1.0,238.5,129.71374993838134,113.23515387053075,0.1894173968204928,136.53129585203848
892a3066c83ffff,0.0,0.3333333333333333,-0.6842105263157895,-0.29592866,1.4042803297784878,-0.29488075151366494,-1.1482896,0.13217802,0.0059975805,0.160838,-1.3063409,-0.74268013,0.056354698,0.68775684,-0.23824084,0.49257502,-0.23555525,0.60333914,0.3125279,-0.66556615,-0.32407495,-0.49403593,0.40895617,-0.06820628,-0.6996769,0.14284107,0.961518,0.5601434,0.11698676,0.24943075,0.080701336,-0.8727035,0.50518537,0.78909725,0.11722374,0.29824463,0.22826825,1.0655788,1.4155271,-1.2966365,-0.41867536,-0.6534582,0.38178247,-0.32688218,0.37130266,-0.3153328,0.11839923,-0.6958973,1.0778341,0.5306077,0.19787106,0.20492238,1.4780864,0.60779506,-0.41671297,-0.2424315,0.0,1.4318181818181819,-1.0652295,-1.064930985938009,1.0,2.0,0.0,0.4570007,1.4449519736587915,0.4568333233919993,0.5,1.0,0.0,0.0,3.0,0.0,0.0,0.0,228.01304347826087,119.39002690978776,113.23746316207222,0.1899754326416076,129.71726945951494
892a3064137ffff,0.0,-0.16666666666666666,-0.23157894736842105,-0.35957903,0.18560962793379934,-0.3577247141689549,-0.82898325,-0.77345955,1.1167727,-1.1145991,0.22962727,-1.4172544,-1.018635,-0.6113576,0.67339617,-1.1381999,-0.5459215,-0.774089,-0.021025715,1.4080741,0.7597344,-0.21334918,-0.9313169,0.037414595,0.99155366,0.9434028,-0.027742552,-0.3125559,-0.73253113,-0.11223491,-1.7276366,0.27981085,-1.4200774,-0.6146664,0.6708605,1.0224613,1.327971,1.2967736,1.1103289,0.32701623,0.669822,-1.1948286,1.1978499,-0.8406606,-1.6407274,-0.97024965,1.3565558,-0.06347777,0.3589694,0.033283588,0.62327355,-0.33090243,-0.5409412,-0.043585964,0.29701665,-0.96652454,0.0,0.5681818181818182,-0.27004716,-0.27040355320614773,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,-0.75,0.0,0.0,0.0,0.0,0.0,0.0,1.0,194.5,124.16587878537909,113.23874927257312,0.18966474824801005,108.49172371858901
892a30659a3ffff,0.0,0.0,0.031578947368421054,-0.7484591,-0.7349302917465697,-0.7454899116792449,0.13191053,-0.19418196,0.57062584,-0.23677255,0.28641516,-0.3527269,-0.11435108,-0.2619402,0.2493632,-0.43056402,0.09465944,-0.7620045,-0.39993834,1.214375,-0.04308315,-0.012008265,-0.8285724,-0.059456665,1.0613849,0.23610722,-0.54921246,-0.90553963,-0.23143807,-0.307017,-1.0503588,0.16077489,-0.7893878,-0.24497668,0.10643177,0.559314,0.8988863,0.38283548,0.13134977,1.131996,0.49409333,-0.0695659,0.23927915,-0.49316633,-1.0578139,-0.7460394,0.6275075,0.7038893,-0.528095,-1.2719027,0.19678764,-0.1920479,-1.0843575,-0.21409044,0.26523998,-0.2572274,0.0,0.3181818181818182,0.737083,0.7365385073845536,0.0,0.0,0.0,0.0,0.0,0.0,-0.25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,197.82142857142858,108.77712586865356,113.2360873642582,0.19347963415223304,106.79450675134312
892a3065597ffff,0.0,0.16666666666666666,0.6421052631578947,0.036036156,-0.399046400297793,0.03518535570515227,0.28721434,0.75462234,0.21526591,1.0116843,-0.36113322,0.112084545,0.67829794,0.36771902,0.4196443,1.046966,-0.24195479,0.532446,-0.16750646,-0.07092671,-0.34341407,0.1055888,0.17899416,-0.65038174,-0.49275544,-0.4638142,0.3143245,0.7057947,0.9480337,-0.3419752,0.5665849,-0.12578176,1.0137863,0.49230787,-0.76732725,0.018627798,0.022331228,0.06253354,-0.27597225,0.06385742,-0.7103445,0.62214667,-0.8710452,0.35674688,0.39903,0.53645957,-0.87814635,0.90243065,0.79322416,-0.39862198,-0.60695076,0.3960093,0.89892113,-0.07040821,0.26637074,0.5266061,0.0,-0.4318181818181818,-0.33720863,-0.3408388209610162,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,-0.25,0.0,0.0,0.0,1.0,0.0,0.0,0.0,182.3037037037037,124.31393051310023,113.24166740494282,0.18891954328354865,99.9943028865297
892a306411bffff,0.0,1.6666666666666667,-0.21052631578947367,0.17256734,0.974830226055233,0.173270380793977,-0.50284624,-1.5101683,-0.4254051,0.08335408,-0.25413674,-0.22018068,0.05174101,0.92709374,-1.1499972,-0.45987782,0.6721967,-0.1805599,-0.07089028,0.67119133,-1.5183613,-0.1709724,-0.91825694,0.82803476,1.6321338,-0.063994214,-0.24269319,-0.82229203,0.10849687,0.53062975,-0.81217307,-0.50972503,-0.5217472,-0.08430093,-0.27733964,0.98135155,0.7933354,0.40066463,-0.16872774,0.15108721,0.27552146,0.06136988,0.6269311,-0.85853225,1.703863,-0.41581142,0.528836,-0.27237,-0.93011606,-0.9514618,0.7449852,0.47513637,-1.6315825,0.28573704,-1.0060775,-0.59007794,0.0,1.1136363636363635,0.0044619148,0.00274951105431275,0.0,-0.3333333333333333,1.0,3.563826,5.634080269880604,3.5631660286967595,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,190.90400000000002,108.44917143067529,113.23645158763195,0.1904293569835417,97.77607165414388
892a3064147ffff,0.0,-0.3333333333333333,-0.22105263157894736,-0.8404519,-0.5830019282360721,-0.8382213545130693,-0.07745895,0.20941968,0.16757318,-0.80088854,0.34267637,-1.1171174,-0.8901278,-0.96656656,0.5668138,-0.77621216,-0.9679349,-0.591405,0.34245986,1.8597505,1.4163859,-0.2890213,-1.2380781,0.5997086,0.37860885,0.8424485,-0.41259158,-0.17558996,-0.46350822,-0.34057745,-1.3408289,0.100363344,-0.6722223,0.33238378,1.2281651,0.70391655,1.0411972,0.8921428,0.6245614,0.98018724,0.15629962,-0.5230276,1.32313,-0.50425106,-1.54607,-0.9096386,0.9123073,-0.4603233,-0.043149654,-0.7530712,0.21852364,-0.54916877,-0.39288628,-0.42115355,0.5073931,-0.5945369,0.0,0.7045454545454546,-0.026499432,-0.028018567701110483,0.0,-0.3333333333333333,0.0,0.0,0.0,0.0,-0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,185.57608695652175,100.58932259176765,113.23737404785655,0.1920634555447074,89.04388918602825
892a3066c47ffff,0.0,0.3333333333333333,1.1789473684210525,0.29023036,-0.5834564103970964,0.2904478058955101,0.03784222,0.96190166,-0.5898553,0.7347802,-0.3526699,-0.80401105,0.44155732,0.28463438,-0.17217949,1.0322193,-0.35123625,0.56204224,0.46182227,-0.2963406,-0.3090702,0.06463767,0.03856967,-0.08437959,-0.58121115,-0.03571044,-0.012936537,0.42277485,0.7962127,-0.28190666,0.48475486,-0.56843704,1.0954748,0.6375618,-0.08128246,0.0955423,-0.0020076467,0.7584684,-0.152153,-0.40722188,-0.9569368,0.49587324,-0.4686557,-0.06781709,0.56312966,0.12075785,-0.64647007,0.592527,0.20267563,-0.16500443,-0.310825,0.8654509,0.18085606,0.26169896,0.05782435,0.19195826,0.0,0.38636363636363635,1.0281423,1.023428099621562,1.0,0.0,0.0,1.5166386,2.3976658325697153,1.516165571454949,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,181.40322580645162,97.614543085814,113.23694116744609,0.18968642232117552,82.7634003899553
892a3064da7ffff,0.0,0.6666666666666666,-1.0842105263157895,-0.8382223,1.6870885093733239,-0.8348463362936313,-0.33212224,0.5344347,0.17959748,0.48513576,-0.5722531,-0.307724,0.06137707,0.39396605,0.08664665,0.8386533,0.14332993,0.5393446,-0.17367052,-0.65817076,-0.34112954,-0.12541388,0.5719231,-0.6231024,-0.5415708,0.0003757998,0.49675205,0.6423974,0.25332096,-0.042653125,0.21299466,-0.25674045,0.63465136,0.2891411,-0.23806974,0.2138963,-0.20563349,0.56151754,0.58882844,-0.6238201,-0.39734265,-0.23874588,-0.12769131,0.03889399,0.12331621,0.0798411,-0.2646289,0.2865542,0.55551255,0.13798861,0.15069254,0.019752404,0.9261433,-0.008898135,-0.22598577,0.058153283,0.0,0.8636363636363636,-0.65930456,-0.6567040186493961,0.0,0.0,0.0,1.7874601,1.1303238511089977,1.7887140193567073,1.5,13.0,0.0,1.0,0.0,1.0,1.0,3.0,163.23999999999998,109.23162423645147,113.23802846042011,0.19021003473512113,82.54612947161836
