,lat,lng,package_id,planned_service_time
0,42.260628,-71.155512,1.0,140.0
1,42.261212,-71.155585,1.0,176.0
2,42.2612,-71.154292,1.0,140.0
3,42.260606,-71.152699,1.0,119.0
4,42.262025,-71.154362,1.0,74.0
5,42.262285,-71.156164,1.0,55.0
6,42.261917,-71.156321,1.0,127.0
7,42.263185,-71.153221,4.0,295.2
8,42.262771,-71.154054,3.0,294.9
9,42.265038,-71.155896,1.0,112.0
10,42.264578,-71.157125,5.0,200.0
11,42.263756,-71.154611,1.0,90.0
12,42.265994,-71.152901,2.0,159.0
13,42.266712,-71.152524,1.0,170.0
14,42.266526,-71.152302,1.0,100.0
15,42.265269,-71.150853,1.0,61.0
16,42.264842,-71.150386,1.0,324.0
17,42.264243,-71.149194,1.0,88.0
18,42.263646,-71.148957,1.0,152.0
19,42.263131,-71.147458,1.0,71.0
20,42.264619,-71.151359,1.0,77.0
21,42.264432,-71.152088,3.0,140.10000000000002
22,42.263203,-71.15216,1.0,70.0
23,42.261656,-71.15209,1.0,45.0
24,42.262328,-71.151786,1.0,52.0
25,42.261859,-71.151021,1.0,54.0
26,42.261082,-71.151586,1.0,138.0
27,42.260476,-71.151515,1.0,63.0
28,42.260093,-71.151005,1.0,311.0
29,42.259414,-71.152096,1.0,91.0
30,42.258391,-71.150736,1.0,37.0
31,42.258533,-71.150957,1.0,53.0
32,42.258346,-71.150688,2.0,216.0
33,42.267915,-71.151213,2.0,154.0
34,42.267212,-71.151927,1.0,192.0
35,42.261108,-71.150737,3.0,183.0
36,42.259142,-71.148557,2.0,136.0
37,42.259792,-71.14826,2.0,130.0
38,42.25953,-71.146409,5.0,142.0
39,42.258988,-71.146411,2.0,574.0
40,42.25781,-71.144331,4.0,216.0
44,42.257536,-71.148223,3.0,72.0
45,42.258157,-71.146648,1.0,93.0
49,42.255526,-71.143926,3.0,188.10000000000002
50,42.254548,-71.145404,2.0,191.0
51,42.254871,-71.144727,2.0,180.0
53,42.253445,-71.145163,1.0,126.0
54,42.252587,-71.146411,1.0,75.0
55,42.254358,-71.143242,1.0,65.0
56,42.253572,-71.142268,1.0,46.0
57,42.250558,-71.14415,1.0,78.0
58,42.249917,-71.142641,1.0,50.0
59,42.252428,-71.141531,1.0,43.0
60,42.253151,-71.140769,2.0,358.0
61,42.253733,-71.140887,1.0,120.0
62,42.254633,-71.142528,1.0,232.0
63,42.255798,-71.141154,2.0,129.0
64,42.254179,-71.140424,2.0,108.0
65,42.249314,-71.139811,1.0,48.0
66,42.249136,-71.141007,5.0,346.0
67,42.24834,-71.138344,1.0,138.0
68,42.246022,-71.131133,9.0,746.1
69,42.244317,-71.133686,2.0,143.0
70,42.241702,-71.132867,1.0,119.0
71,42.242578,-71.13443,4.0,262.0
72,42.243702,-71.137233,2.0,110.0
73,42.241911,-71.139536,1.0,65.0
74,42.241835,-71.137671,6.0,499.20000000000005
75,42.241665,-71.136185,1.0,115.0
76,42.241211,-71.13575,1.0,54.0
77,42.241601,-71.134879,1.0,258.0
78,42.241317,-71.135048,1.0,38.0
79,42.24072,-71.134131,1.0,71.0
80,42.239919,-71.135871,1.0,54.0
83,42.240011,-71.139219,1.0,65.0
84,42.239698,-71.140178,1.0,46.0
85,42.240102,-71.141411,1.0,51.0
86,42.241393,-71.139465,1.0,51.0
87,42.24122,-71.137775,1.0,456.0
88,42.240566,-71.137846,1.0,71.0
89,42.2412,-71.141679,1.0,69.0
90,42.241462,-71.142471,2.0,72.0
91,42.241977,-71.141826,2.0,71.0
92,42.24244,-71.140963,1.0,44.0
93,42.242274,-71.140288,1.0,55.0
94,42.243228,-71.140758,1.0,123.0
96,42.236943,-71.146178,3.0,186.89999999999998
97,42.236253,-71.145668,1.0,67.0
98,42.334254,-71.076035,1.0,113.0
99,42.334719,-71.076061,1.0,99.0
100,42.341134,-71.07985,1.0,83.0
101,42.339938,-71.079228,2.0,166.0
102,42.33984,-71.079229,3.0,125.10000000000001
104,42.337688,-71.077522,3.0,314.1
105,42.337537,-71.077002,1.0,153.0
106,42.337461,-71.076911,7.0,695.8000000000001
107,42.335852,-71.076308,2.0,110.0
108,42.335354,-71.075711,6.0,564.0
109,42.334512,-71.075647,2.0,802.0
110,42.332154,-71.075454,12.0,542.4000000000001
111,42.330265,-71.07054,1.0,64.0
112,42.329597,-71.070579,2.0,428.0
113,42.326235,-71.058718,1.0,347.0
114,42.325756,-71.058159,2.0,173.0
115,42.325684,-71.057897,1.0,147.0
116,42.325199,-71.058239,4.0,250.0
117,42.325088,-71.057839,4.0,300.8
118,42.325008,-71.057549,1.0,104.0
119,42.324342,-71.057695,2.0,386.0
120,42.324693,-71.058996,1.0,91.0
121,42.323986,-71.05899,2.0,212.0
122,42.323669,-71.057864,2.0,162.0
123,42.322588,-71.056812,3.0,249.89999999999998
124,42.32395,-71.056837,4.0,180.0
125,42.324918,-71.059311,1.0,481.0
126,42.324932,-71.059982,2.0,185.0
127,42.323969,-71.059977,1.0,128.0
128,42.322707,-71.059839,1.0,173.0
129,42.322127,-71.058144,3.0,617.0999999999999
130,42.321806,-71.057249,1.0,95.0
131,42.322638,-71.057253,1.0,120.0
132,42.323137,-71.057529,3.0,363.0
133,42.323222,-71.058943,1.0,61.0
