h3,max_diff,max_diff_value,median,actual
892a306eba7ffff,natural_wetland,10.165129655654743,0.0,7.0
892a306546bffff,amenity_library,17.049503264685246,0.0,4.0
892a3064433ffff,building_service,19.723104572327475,0.0,1.0
892a30654afffff,tourism_motel,34.190654482928004,0.0,1.0
892a306450fffff,landuse_railway,15.269645264698129,0.0,2.0
892a30658abffff,landuse_cemetery,9.035615895341348,0.0,2.0
892a3065543ffff,highway_turning_circle,5.120545742064932,0.0,3.0
892a3065503ffff,place_city,3.0383870186335478,0.0,2.0
892a306e89bffff,landuse_recreation_ground,1.7712158474209465,0.0,1.0
892a302992bffff,natural_wetland,4.181283066854087,0.0,3.0
892a306550bffff,highway_residential,1.7102325408383703,9.0,16.0
892a306551bffff,public_transport_stop_position,4.344271732588206,0.0,6.0
892a30654d7ffff,sport_baseball,3.04410505274769,0.0,1.0
892a3065463ffff,tourism_gallery,12.052006221827344,0.0,1.0
892a306ce7bffff,water_lake,24.16610961596767,0.0,1.0
892a30654d3ffff,highway_tertiary_link,7.8899147367658395,0.0,2.0
892a30645abffff,highway_turning_loop,8.775013046768933,0.0,1.0
892a306599bffff,public_transport_stop_position,2.7617107747842584,0.0,4.0
892a306ce2fffff,leisure_common,19.72310457232748,0.0,1.0
892a3066313ffff,amenity_vending_machine,32.59925838892989,0.0,10.0
892a30656cfffff,landuse_cemetery,4.421265169896639,0.0,1.0
892a3065513ffff,highway_footway,2.3588722361862757,0.0,50.0
892a30654cbffff,highway_footway,2.9111323454639475,0.0,60.0
892a3064687ffff,office_newspaper,34.19065448292801,0.0,1.0
892a30654dbffff,landuse_cemetery,4.421265169896639,0.0,1.0
892a302993bffff,natural_bay,6.506472723703552,0.0,1.0
892a3065507ffff,place_city,3.0383870186335478,0.0,2.0
892a306443bffff,building_college,34.19065448292801,0.0,2.0
892a306602bffff,shop_computer,34.190654482928004,0.0,1.0
892a306467bffff,amenity_marketplace,19.723104572327475,0.0,1.0
892a3065997ffff,highway_steps,9.363800850337848,0.0,5.0
892a3028ed7ffff,natural_reef,34.19065448292801,0.0,2.0
892a306e883ffff,place_neighbourhood,4.129024682639837,0.0,1.0
892a3065a0bffff,highway_residential,1.4614212220010325,9.0,15.0
892a306548fffff,sport_running,12.052006221827344,0.0,1.0
892a30649b3ffff,highway_track,6.336099877848433,0.0,2.0
892a306440bffff,healthcare_optometrist,34.19065448292801,0.0,1.0
892a306429bffff,sport_chess,24.16610961596767,0.0,1.0
892a306ec83ffff,shop_bookmaker,34.19065448292801,0.0,1.0
892a3029967ffff,natural_bay,6.506472723703552,0.0,1.0
892a3064c2fffff,natural_peak,8.235556045752448,0.0,1.0
892a30654a7ffff,shop_car,9.435289707964964,0.0,1.0
892a30641bbffff,amenity_monastery,30.578438176926348,0.0,2.0
892a3065a03ffff,highway_give_way,5.5507868794509525,0.0,1.0
892a30654a3ffff,shop_car,9.435289707964964,0.0,1.0
892a30654c3ffff,shop_bakery,5.877790553755061,0.0,1.0
892a30658bbffff,landuse_cemetery,9.035615895341348,0.0,2.0
892a338d50fffff,landuse_cemetery,4.421265169896639,0.0,1.0
892a306546fffff,shop_pastry,19.723104572327475,0.0,1.0
892a30654cfffff,highway_footway,3.6842964984526874,0.0,74.0
892a3066507ffff,amenity_car_rental,30.704290853743277,0.0,5.0
892a306413bffff,highway_cycleway,19.776476112264202,0.0,9.0
892a30654abffff,shop_coffee,34.190654482928004,0.0,1.0
892a306517bffff,natural_water,2.0539697253520215,0.0,1.0
892a30659afffff,railway_abandoned,2.0387626513165515,0.0,1.0
892a306ca97ffff,highway_track,3.0646832301586113,0.0,1.0
892a306ce37ffff,amenity_community_centre,8.775013046768933,0.0,1.0
892a338948bffff,highway_path,1.8188286417834294,0.0,2.0
892a3066aa7ffff,landuse_allotments,5.785230345512348,0.0,1.0
892a30641c7ffff,shop_books,15.264365495197136,0.0,1.0
892a3064613ffff,amenity_veterinary,34.19065448292801,0.0,1.0
892a3065167ffff,sport_tennis,2.0954127195160646,0.0,1.0
892a3065487ffff,building_school,2.5757474086251064,0.0,1.0
892a306ca83ffff,highway_track,6.336099877848433,0.0,2.0
892a338d083ffff,place,1.1629218183651386,1.0,0.0
892a3392bc7ffff,amenity_community_centre,8.775013046768933,0.0,1.0
892a3066a97ffff,amenity_community_centre,8.775013046768933,0.0,1.0
892a306545bffff,amenity_social_facility,8.492694152679995,0.0,1.0
892a3392267ffff,highway_turning_circle,1.4249161186701491,0.0,1.0
892a30651d7ffff,building_temple,19.723104572327475,0.0,1.0
892a302992fffff,natural_bay,6.506472723703552,0.0,1.0
892a306418bffff,shop_beverages,34.19065448292801,0.0,1.0
